feature,psi,drift_band
credit_diversity,0.0014463240395926526,stable
RevolvingUtilizationOfUnsecuredLines,0.0006096594969387709,stable
log_revolving_util,0.0006096594969387709,stable
age_income_ratio,0.000535602729575711,stable
MonthlyIncome,0.00047140482936840894,stable
log_monthly_income,0.00047140482936840894,stable
income_per_dependent,0.00046714261806612815,stable
debt_service_ratio,0.00037640943450545697,stable
age,0.0003179907408894223,stable
estimated_monthly_debt,0.0003118443246248381,stable
NumberOfOpenCreditLinesAndLoans,0.00029138571378608836,stable
NumberOfDependents,0.0002563909677617472,stable
weighted_delinquency_score,0.0001463517898116899,stable
DebtRatio,0.00010166104977568928,stable
NumberRealEstateLoansOrLines,7.624114225493673e-05,stable
total_past_due_events,3.060878247909054e-05,stable
NumberOfTime30-59DaysPastDueNotWorse,1.778757575321758e-05,stable
NumberOfTimes90DaysLate,,unknown
NumberOfTime60-89DaysPastDueNotWorse,,unknown
is_over_utilized,,unknown
is_maxed_out,,unknown
has_90day_default,,unknown
has_any_delinquency,,unknown
MonthlyIncome_was_imputed,,unknown
