feature,group,count,default_rate,approve_rate,auc,fpr,fnr
CODE_GENDER,F,10605,0.07128712871287128,0.16473361621876473,0.7310996577419564,0.02386029038481064,0.8478835978835979
CODE_GENDER,M,5394,0.09844271412680757,0.13756025213199852,0.7423966590415424,0.03578038247995065,0.8305084745762712
NAME_FAMILY_STATUS,Married,10172,0.07589461266220998,0.16938655131734173,0.7421249035387498,0.023723404255319148,0.8471502590673575
NAME_FAMILY_STATUS,Single / not married,2352,0.09311224489795919,0.1096938775510204,0.7261108863328388,0.0403187998124707,0.8036529680365296
NAME_FAMILY_STATUS,Civil marriage,1611,0.09993792675356922,0.13656114214773432,0.7276076247590489,0.04206896551724138,0.8385093167701864
NAME_FAMILY_STATUS,Separated,1033,0.08712487899322362,0.12294288480154889,0.7211735595616826,0.02863202545068929,0.8444444444444444
NAME_FAMILY_STATUS,Widow,832,0.054086538461538464,0.1935096153846154,0.731695609205139,0.015247776365946633,0.9111111111111111
NAME_INCOME_TYPE,Working,8275,0.09570996978851964,0.11444108761329305,0.7313077993620556,0.03821996525457704,0.8106060606060606
NAME_INCOME_TYPE,Commercial associate,3717,0.06887274683884853,0.18321226795803067,0.7676802676249639,0.024270442068766253,0.82421875
NAME_INCOME_TYPE,Pensioner,2883,0.05861949358307319,0.21297259798820672,0.7080577152001675,0.004421518054532056,0.9822485207100592
NAME_INCOME_TYPE,State servant,1115,0.06278026905829596,0.21883408071748878,0.7085850991114149,0.024880382775119617,0.9
