tn,fp,fn,tp,precision,recall,f1,accuracy,threshold,expected_loss
20286,21500,619,3712,0.147231477074409,0.8570768875548372,0.25129472294621397,0.5203720970574842,0.05,3750.8944640804907
21629,20157,692,3639,0.15292486132123045,0.840221657815747,0.2587549329825435,0.5479107487477503,0.055,3625.5556519287898
22826,18960,764,3567,0.1583433213477161,0.8235973216347264,0.2656191823665202,0.5723052236702301,0.06,3520.610620812282
23932,17854,839,3492,0.16359036821887005,0.8062803047794966,0.2719943918682089,0.5946614046880759,0.065,3431.9123099941453
24930,16856,910,3421,0.16871332051092372,0.7898868621565458,0.27803966189856955,0.6147624520241993,0.06999999999999999,3355.118502938179
25850,15936,1009,3322,0.17249974036763943,0.7670283999076426,0.28165670439611684,0.6325649977231823,0.07499999999999998,3317.0631220591104
26717,15069,1083,3248,0.1773216138013867,0.7499422766104825,0.2868244436594843,0.649760392046317,0.07999999999999999,3262.370709282911
27500,14286,1159,3172,0.18169320655286975,0.7323943661971831,0.2911560879342788,0.6650909642864887,0.08499999999999999,3221.9246698614393
28257,13529,1235,3096,0.18622556390977443,0.7148464557838836,0.295476235922886,0.6798577531062298,0.08999999999999998,3185.284168527875
28917,12869,1299,3032,0.19067983145714107,0.7000692680674209,0.2997232107552392,0.6927814038207168,0.09499999999999997,3151.131903636403
29555,12231,1371,2960,0.19485221512737805,0.6834449318864003,0.30324761807191886,0.7050545352039378,0.09999999999999998,3128.0059414098923
30152,11634,1426,2905,0.1998074145402022,0.6707457861925652,0.3078961314255432,0.7168072511221458,0.10499999999999998,3094.2927770670253
30699,11087,1485,2846,0.20426325988660016,0.6571230662664511,0.3116513359614542,0.7273890322440748,0.10999999999999997,3071.801071188499
31220,10566,1552,2779,0.2082427875608842,0.6416531978757792,0.3144376555781851,0.7372335581239022,0.11499999999999998,3060.921135373073
31766,10020,1627,2704,0.21251178874567747,0.6243361810205496,0.31709176194664324,0.7474467116247805,0.11999999999999997,3054.1882602944684
32208,9578,1679,2652,0.21684382665576452,0.6123297160009236,0.32027051506551535,0.7559034629312401,0.12499999999999996,3040.23462063881
32655,9131,1733,2598,0.22150225935714896,0.5998614638651582,0.32353673723536736,0.7644252661708264,0.12999999999999995,3027.5007047292756
33077,8709,1790,2541,0.22586666666666666,0.5867005310551836,0.32616648482125665,0.7723399180345643,0.13499999999999995,3021.3532970488104
33479,8307,1842,2489,0.23054835124120043,0.5746940660355576,0.3290804521716137,0.7799293102326691,0.13999999999999996,3013.2543313745473
33841,7945,1912,2419,0.23340409108452334,0.5585315169706765,0.3292276284450493,0.7862610317236594,0.14499999999999996,3028.5740616258645
34181,7605,1967,2364,0.23713511886849234,0.5458323712768414,0.33062937062937064,0.7924409653706876,0.14999999999999997,3032.477177613461
34541,7245,2011,2320,0.24255096706743334,0.5356730547217733,0.333909038572251,0.7992931023266908,0.15499999999999997,3022.7193876444694
34896,6890,2059,2272,0.24798079022047587,0.5245901639344263,0.33676721262877046,0.8059500834833142,0.15999999999999995,3017.5965479107485
35217,6569,2112,2219,0.2525034137460173,0.5123528053567306,0.3382879792667124,0.8117613895092916,0.16499999999999992,3022.32907604571
35546,6240,2187,2144,0.25572519083969464,0.4950357885015008,0.33723948092803774,0.8172691198473448,0.16999999999999993,3047.357807316174
35812,5974,2245,2086,0.25880893300248137,0.48164396213345645,0.3366959890242918,0.8217793872107899,0.17499999999999993,3065.0194071600495
36113,5673,2298,2033,0.26382039968855436,0.4694066035557608,0.33779180859018026,0.82715701368259,0.17999999999999994,3072.679272285708
36411,5375,2357,1974,0.2686079738739965,0.4557838836296467,0.33801369863013697,0.83233948435501,0.18499999999999994,3086.6329119413667
36661,5125,2423,1908,0.2712924783165079,0.44054490879704455,0.3357972544878564,0.8363293362534423,0.18999999999999995,3114.4426133529932
36928,4858,2474,1857,0.2765450483991065,0.42876933733548833,0.33623030961434003,0.8410130754385584,0.19499999999999995,3125.1273933690395
37188,4598,2534,1797,0.2810007818608288,0.41491572385130454,0.33507365280626517,0.8453498709803327,0.1999999999999999,3145.6187523039225
37435,4351,2584,1747,0.28648737290915055,0.40337104594781803,0.3350273276440694,0.8496216145889802,0.2049999999999999,3158.255090313767
37645,4141,2639,1692,0.2900737184981999,0.3906719002539829,0.33293978748524206,0.8529826311338552,0.2099999999999999,3181.185896740898
37876,3910,2700,1631,0.29435120014437827,0.3765873932117294,0.3304294975688817,0.8566689073443633,0.2149999999999999,3206.8976733091918
38105,3681,2760,1571,0.29912414318354913,0.3627337797275456,0.32787227381821976,0.8603334995771624,0.21999999999999992,3231.9264045796563
38280,3506,2808,1523,0.30284350765559753,0.3516508889401986,0.32542735042735044,0.8630873647461891,0.22499999999999992,3253.1495977622135
38456,3330,2868,1463,0.3052368036720217,0.3377972754560148,0.320692678649715,0.865602706160418,0.22999999999999993,3285.9357720580265
38657,3129,2920,1411,0.3107929515418502,0.3257908104363888,0.31811520685379324,0.8688336188390399,0.23499999999999993,3307.2565431402736
38870,2916,2954,1377,0.32075471698113206,0.317940429462018,0.31934137291280146,0.8727150508489278,0.23999999999999988,3309.256890083917
39077,2709,3013,1318,0.3272907871864912,0.3043177095359039,0.3153864560899737,0.8759242795498406,0.24499999999999988,3336.5299130472495
39244,2542,3045,1286,0.33594566353187044,0.2969291156776726,0.3152347101360461,0.8788516165405382,0.2499999999999999,3343.3115770756986
39393,2393,3092,1239,0.3411343612334802,0.2860771184483953,0.31118925028255684,0.881063382266843,0.2549999999999999,3367.3645293492636
39535,2251,3136,1195,0.3467788740568775,0.27591780189332715,0.3073164459303073,0.8831884120823124,0.2599999999999999,3389.5147125788753
39682,2104,3186,1145,0.35241612803939676,0.2643731239898407,0.3021108179419525,0.8852917579200729,0.2649999999999999,3416.787735542208
39818,1968,3232,1099,0.3583306162373655,0.2537520203186331,0.2971073263044066,0.8872433159138713,0.2699999999999999,3441.767677862827
39939,1847,3282,1049,0.36222375690607733,0.2422073424151466,0.29030026290300265,0.8887828783312011,0.2749999999999999,3472.8462389140664
40057,1729,3344,987,0.3634020618556701,0.22789194181482336,0.28011919965942955,0.8899971810828978,0.27999999999999986,3516.0732484767004
40186,1600,3391,940,0.3700787401574803,0.21703994458554607,0.27361373890263424,0.8917752672550253,0.28499999999999986,3543.0535377409633
40302,1484,3429,902,0.37803855825649624,0.20826598937889632,0.2685722792913503,0.8934666175163172,0.28999999999999987,3563.1545850770867
40435,1351,3475,856,0.3878568192115995,0.19764488570768876,0.2618537779137351,0.8953531235769889,0.2949999999999999,3588.5736279463104
40548,1238,3518,813,0.3963920039005363,0.18771646271069037,0.2547790661234723,0.89687100201661,0.2999999999999999,3613.9926708155344
40641,1145,3564,767,0.40115062761506276,0.17709535903948279,0.24571520102514816,0.8978901489689268,0.3049999999999999,3645.2663876661536
40741,1045,3613,718,0.40726035167328417,0.16578157469406604,0.23564161470298656,0.8989960318320793,0.3099999999999999,3678.442873560726
40817,969,3658,673,0.40986601705237513,0.1553913645809282,0.22534739661811484,0.8996682351410543,0.31499999999999984,3711.2290478565387
40905,881,3702,629,0.4165562913907285,0.14523204802586007,0.21537407978085943,0.9006223301602446,0.31999999999999984,3741.2830409610337
40992,794,3745,586,0.4246376811594203,0.1353036250288617,0.20521800035020138,0.9015764251794349,0.32499999999999984,3770.5076219181647
41072,714,3788,543,0.431980906921241,0.1253752020318633,0.19434502505368648,0.9023787323546631,0.32999999999999985,3800.7567708220395
41130,656,3826,505,0.43496985357450474,0.11660124682521357,0.18390386016023308,0.9028124119088405,0.33499999999999985,3829.347095431186
41207,579,3871,460,0.44273339749759383,0.10621103671207573,0.1713221601489758,0.9035062991955244,0.33999999999999986,3861.9869028774638
41273,513,3914,417,0.4483870967741935,0.09628261371507735,0.1585249952480517,0.9040050306828284,0.34499999999999986,3894.2851876748273
41338,448,3945,386,0.4628297362110312,0.08912491341491573,0.1494675701839303,0.9047422859249301,0.3499999999999998,3915.020491358935
41402,384,3970,361,0.48456375838926175,0.08335257446317247,0.1422379826635146,0.905587961055576,0.3549999999999998,3930.0474879111825
41452,334,3996,335,0.5007473841554559,0.0773493419533595,0.134,0.906108376520589,0.3599999999999998,3948.0993993538173
41496,290,4034,297,0.5059625212947189,0.06857538674670977,0.12078080520536803,0.9062384803868422,0.3649999999999998,3978.738859856452
41536,250,4071,260,0.5098039215686274,0.06003232509812976,0.10741582317702954,0.9063035323199687,0.36999999999999983,4008.988008760327
41576,210,4099,232,0.5248868778280543,0.05356730547217733,0.09721349256232978,0.9065637400524752,0.37499999999999983,4030.4551466921093
41605,181,4130,201,0.5261780104712042,0.0464096051720157,0.0852959898154042,0.9065203720970575,0.37999999999999984,4056.459656959473
41627,159,4156,175,0.5239520958083832,0.040406372662202726,0.07502679528403002,0.906433636186222,0.38499999999999984,4078.6098401890845
41653,133,4182,149,0.5283687943262412,0.034403140152389745,0.0646000433557338,0.906433636186222,0.38999999999999985,4100.174556020556
41677,109,4195,136,0.5551020408163265,0.03140152389748326,0.05944055944055944,0.9066721599410196,0.3949999999999998,4109.346878591409
41706,80,4216,115,0.5897435897435898,0.02655275917801893,0.05081749889527176,0.9068456317626905,0.3999999999999998,4125.59359888978
41727,59,4231,100,0.6289308176100629,0.023089355806972984,0.044543429844097995,0.9069757356289437,0.4049999999999998,4137.156580003036
41734,52,4247,84,0.6176470588235294,0.019395058877857307,0.03760913364674278,0.906780579829564,0.4099999999999998,4151.744476006678
41747,39,4259,72,0.6486486486486487,0.01662433618102055,0.03241782980639352,0.9068022638072728,0.4149999999999998,4161.551054925516
41759,27,4267,64,0.7032967032967034,0.014777187716462711,0.028946178199909543,0.9068889997181083,0.4199999999999998,4167.60088470629
41764,22,4281,50,0.6944444444444444,0.011544677903486492,0.02271178741766977,0.9066938439187284,0.4249999999999998,4180.529956415205
41769,17,4289,42,0.711864406779661,0.009697529438928654,0.019134396355353075,0.9066287919856019,0.42999999999999977,4187.604354142724
41773,13,4298,33,0.717391304347826,0.007619487416301085,0.015078821110349555,0.9065203720970575,0.4349999999999998,4195.800897716677
41777,9,4305,26,0.7428571428571429,0.006003232509812976,0.011910215300045808,0.9064553201639308,0.4399999999999998,4202.045883296832
41780,6,4310,21,0.7777777777777778,0.004848764719464327,0.009637448370812299,0.9064119522085131,0.4449999999999998,4206.485677732723
41781,5,4314,17,0.7727272727272727,0.003925190487185408,0.00781070526073972,0.9063469002753866,0.4499999999999998,4210.2424268707855
41781,5,4321,10,0.6666666666666666,0.0023089355806972986,0.004601932811780948,0.9061951124314244,0.4549999999999998,4217.072879849079
41786,0,4324,7,1.0,0.0016162549064881089,0.003227293683725219,0.9062384803868422,0.4599999999999998,4219.268382592103
41786,0,4327,4,1.0,0.0009235742322789194,0.001845444059976932,0.9061734284537155,0.4649999999999998,4222.1957195828
41786,0,4330,1,1.0,0.00023089355806972986,0.0004616805170821791,0.906108376520589,0.4699999999999998,4225.123056573498
41786,0,4330,1,1.0,0.00023089355806972986,0.0004616805170821791,0.906108376520589,0.47499999999999976,4225.123056573498
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.47999999999999976,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.48499999999999976,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.48999999999999977,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.4949999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.4999999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5049999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5099999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5149999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5199999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5249999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5299999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5349999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5399999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5449999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5499999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5549999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5599999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5649999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5699999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5749999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5799999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5849999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5899999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5949999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.5999999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6049999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6099999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6149999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6199999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6249999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6299999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6349999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6399999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6449999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6499999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6549999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6599999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6649999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6699999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6749999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6799999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6849999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6899999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6949999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.6999999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7049999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7099999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7149999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7199999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7249999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7299999999999998,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7349999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7399999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7449999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7499999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7549999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7599999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7649999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7699999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7749999999999997,4226.098835570397
