iter	Logloss
0	0.6533199164
1	0.6171585771
2	0.5849352729
3	0.5549569576
4	0.5266983221
5	0.5013054316
6	0.4784681992
7	0.4580108381
8	0.4392762658
9	0.4220442252
10	0.4078352538
11	0.3950833933
12	0.3826784864
13	0.3710008371
14	0.3604332611
15	0.3510897881
16	0.3424120654
17	0.3335707729
18	0.3259595124
19	0.3192822891
20	0.3127309585
21	0.3075580889
22	0.302533247
23	0.2976431374
24	0.2930160366
25	0.2889778491
26	0.2848217701
27	0.2813710223
28	0.2782637365
29	0.2754653793
30	0.273010291
31	0.2702636643
32	0.2679097122
33	0.2658775166
34	0.2637200193
35	0.2617674919
36	0.2599249726
37	0.2582205451
38	0.2566205497
39	0.2550914906
40	0.2538868396
41	0.252719721
42	0.2515737777
43	0.2505301328
44	0.2494025503
45	0.248357723
46	0.2474699548
47	0.2467719306
48	0.2459093488
49	0.2452288193
50	0.2446542879
51	0.2439054181
52	0.2432865239
53	0.2427565334
54	0.2422982961
55	0.2418277598
56	0.2413434811
57	0.2408646609
58	0.240461128
59	0.2400837502
60	0.2396792082
61	0.2392513252
62	0.2389844478
63	0.2386481912
64	0.2382606182
65	0.2379231619
66	0.2376131287
67	0.2373714696
68	0.2370929045
69	0.2368484387
70	0.2366283807
71	0.23642066
72	0.2361923086
73	0.2360239313
74	0.2357515834
75	0.235569707
76	0.2353653701
77	0.235176196
78	0.2349519742
79	0.2347790569
80	0.2345888153
81	0.234431284
82	0.2342811224
83	0.2341481494
84	0.2339696086
85	0.2338328479
86	0.2337296097
87	0.2335687237
88	0.2334449962
89	0.233298194
90	0.2331835581
91	0.2330785298
92	0.2329444505
93	0.2328184745
94	0.2327154783
95	0.2325894286
96	0.2325000327
97	0.23241954
98	0.2323379327
99	0.2322576607
100	0.2321596604
101	0.2320549765
102	0.2319318953
103	0.231844036
104	0.2317483937
105	0.2316724464
106	0.2315836989
107	0.2314982449
108	0.2314132183
109	0.2313159693
110	0.2312156753
111	0.2311480627
112	0.231088501
113	0.2309890366
114	0.2309157442
115	0.2308519189
116	0.2307676797
117	0.2306906968
118	0.2306068122
119	0.2305463822
120	0.2304761735
121	0.2304051229
122	0.2303294389
123	0.2302850536
124	0.2302437876
125	0.2301796178
126	0.2301308058
127	0.2300882781
128	0.2300274157
129	0.2299512921
130	0.229917216
131	0.2298624692
132	0.2297956423
133	0.2297479795
134	0.2296866069
135	0.2296418549
136	0.229595312
137	0.2295272397
138	0.2294675507
139	0.2294142142
140	0.2293632388
141	0.2292887435
142	0.2292480514
143	0.2292011005
144	0.2291527261
145	0.2291013251
146	0.2290486067
147	0.2289932954
148	0.2289585261
149	0.2289284625
150	0.2288655004
151	0.2288058252
152	0.2287560902
153	0.2287191076
154	0.2286830839
155	0.228638387
156	0.2285821288
157	0.2285240627
158	0.228475217
159	0.2284312876
160	0.2284023768
161	0.2283700556
162	0.2283314424
163	0.2282838311
164	0.2282587583
165	0.2282189207
166	0.2281777015
167	0.2281257874
168	0.2280797474
169	0.2280520123
170	0.2280159752
171	0.2279710981
172	0.2279316869
173	0.2279003911
174	0.2278622637
175	0.2278134525
176	0.2277478563
177	0.2277014926
178	0.2276770109
179	0.2276477392
180	0.2276152943
181	0.2275856921
182	0.2275642522
183	0.2275287092
184	0.2274950846
185	0.2274617865
186	0.227428125
187	0.2273965486
188	0.2273561519
189	0.227321226
190	0.227296142
191	0.2272659101
192	0.2272362905
193	0.2271969676
194	0.2271706208
195	0.2271462813
196	0.2271239681
197	0.2270977664
198	0.2270741483
199	0.227040006
200	0.2270058645
201	0.2269705124
202	0.2269288781
203	0.2269076163
204	0.2268733428
205	0.2268348108
206	0.226812271
207	0.2267797142
208	0.2267561189
209	0.2267196076
210	0.2266965559
211	0.2266596055
212	0.2266379922
213	0.2265969813
214	0.2265649146
215	0.2265345684
216	0.2265091779
217	0.2264863958
218	0.2264548335
219	0.2264317444
220	0.2264143074
221	0.2263965797
222	0.2263700233
223	0.2263447496
224	0.2263166158
225	0.2262894971
226	0.226262568
227	0.2262397653
228	0.2262097045
229	0.2261737507
230	0.2261440893
231	0.2261227874
232	0.2260902265
233	0.2260550935
234	0.2260233435
235	0.2259921571
236	0.2259693166
237	0.2259415747
238	0.2259131533
239	0.2258955106
240	0.2258699649
241	0.2258420286
242	0.2258271737
243	0.2258133759
244	0.2257866178
245	0.225755981
246	0.2257362121
247	0.2257111852
248	0.2256851497
249	0.2256512473
250	0.2256202777
251	0.2255884861
252	0.2255639207
253	0.2255398121
254	0.225520904
255	0.2254972519
256	0.225475876
257	0.2254524327
258	0.2254199496
259	0.2253816353
260	0.2253462852
261	0.2253201224
262	0.2252810028
263	0.2252652372
264	0.2252472628
265	0.2252261753
266	0.2251888826
267	0.2251699646
268	0.2251428948
269	0.2251227315
270	0.225091883
271	0.2250664871
272	0.2250500581
273	0.2250358344
274	0.2250033549
275	0.2249839529
276	0.224957565
277	0.2249192936
278	0.2249066808
279	0.2248754247
280	0.2248549753
281	0.224838886
282	0.2248223896
283	0.2247880683
284	0.2247750563
285	0.2247430694
286	0.2247147119
287	0.224697743
288	0.2246795532
289	0.2246561284
290	0.2246211341
291	0.2245981714
292	0.2245755401
293	0.2245443273
294	0.2245252829
295	0.2244946619
296	0.2244802082
297	0.2244574079
298	0.2244333514
299	0.2244092043
300	0.2243817403
301	0.2243648077
302	0.2243242517
303	0.2242980095
304	0.2242714912
305	0.2242416499
306	0.2242222428
307	0.2242189758
308	0.2241907497
309	0.2241658988
310	0.2241439081
311	0.2241290277
312	0.2241004718
313	0.2240771535
314	0.2240574125
315	0.2240301687
316	0.2240124554
317	0.223983982
318	0.2239592032
319	0.2239284087
320	0.2239050623
321	0.2238882099
322	0.2238785272
323	0.2238560039
324	0.223829069
325	0.2238076388
326	0.223786568
327	0.223760493
328	0.2237323781
329	0.2237059319
330	0.2236833403
331	0.2236696624
332	0.2236467374
333	0.2236307863
334	0.2236081506
335	0.2235878059
336	0.2235658344
337	0.2235388178
338	0.2235239374
339	0.2235063437
340	0.223483818
341	0.2234627152
342	0.2234459757
343	0.2234178797
344	0.2234002966
345	0.2233718705
346	0.2233511991
347	0.2233457473
348	0.2233278791
349	0.2233068945
350	0.2232769171
351	0.223252724
352	0.2232286611
353	0.2232121382
354	0.223186035
355	0.2231554181
356	0.2231379816
357	0.2231172955
358	0.2231119901
359	0.2231042397
360	0.2230822275
361	0.223062601
362	0.2230362122
363	0.2230240855
364	0.2229930403
365	0.2229679836
366	0.2229544695
367	0.2229188497
368	0.2228933031
369	0.2228689319
370	0.2228421351
371	0.2228234565
372	0.2227990906
373	0.2227929146
374	0.2227869808
375	0.2227654625
376	0.2227526253
377	0.2227465461
378	0.2227233687
379	0.2226987266
380	0.2226758816
381	0.2226399075
382	0.2226116319
383	0.2225890741
384	0.222565957
385	0.2225397816
386	0.2225049146
387	0.2224807801
388	0.2224657643
389	0.2224444169
390	0.2224237568
391	0.2223973321
392	0.2223636648
393	0.2223496671
394	0.2223249988
395	0.2223066071
396	0.2222791148
397	0.2222472648
398	0.2222119545
399	0.2221784298
400	0.222156231
401	0.2221422104
402	0.2221120915
403	0.2220854447
404	0.2220557332
405	0.2220282325
406	0.2219971377
407	0.2219803986
408	0.221963275
409	0.2219436619
410	0.2219212437
411	0.2218932258
412	0.2218643896
413	0.221839998
414	0.2218140993
415	0.2218011474
416	0.2217683331
417	0.2217404847
418	0.2217064998
419	0.2216749537
420	0.2216553167
421	0.2216300487
422	0.2216073509
423	0.2215913957
424	0.221569145
425	0.2215432363
426	0.2215319769
427	0.2215064545
428	0.2214777353
429	0.2214647017
430	0.221434693
431	0.2214157722
432	0.2213949494
433	0.2213739418
434	0.2213463366
435	0.2213294049
436	0.2213194345
437	0.2213010207
438	0.2212792942
439	0.2212553423
440	0.2212340037
441	0.2212131406
442	0.2211872809
443	0.2211729695
444	0.2211540581
445	0.2211309102
446	0.2211003527
447	0.2210794721
448	0.2210675858
449	0.2210413249
450	0.2210158026
451	0.2209959298
452	0.2209692446
453	0.2209571067
454	0.2209456954
455	0.2209147702
456	0.2208914038
457	0.2208648309
458	0.2208509042
459	0.2208251238
460	0.2207986192
461	0.2207865293
462	0.2207601066
463	0.2207468906
464	0.2207231194
465	0.2207044942
466	0.2206838307
467	0.2206723442
468	0.2206518602
469	0.2206278616
470	0.2206127638
471	0.2205859888
472	0.2205560179
473	0.2205306358
474	0.2205122951
475	0.2204852183
476	0.2204703818
477	0.2204611851
478	0.2204415336
479	0.2204250168
480	0.2204030269
481	0.2203846429
482	0.2203609178
483	0.2203328372
484	0.2203142584
485	0.2202901873
486	0.2202761702
487	0.2202658412
488	0.2202459464
489	0.2202198338
490	0.220184649
491	0.2201626156
492	0.2201519396
493	0.2201338189
494	0.2201112298
495	0.2200914899
496	0.2200783591
497	0.2200613827
498	0.220046975
499	0.220028422
