iter	Passed	Remaining
0	16	8194
1	32	8093
2	49	8139
3	65	8148
4	82	8141
5	98	8150
6	115	8135
7	132	8130
8	149	8160
9	166	8146
10	181	8053
11	194	7896
12	211	7908
13	227	7904
14	242	7838
15	258	7821
16	274	7803
17	291	7812
18	307	7787
19	322	7740
20	338	7730
21	355	7724
22	371	7708
23	389	7721
24	409	7781
25	426	7775
26	442	7758
27	458	7734
28	475	7728
29	491	7706
30	508	7687
31	526	7693
32	543	7692
33	558	7652
34	576	7664
35	594	7668
36	609	7626
37	626	7619
38	644	7622
39	663	7629
40	680	7622
41	697	7601
42	714	7594
43	732	7590
44	751	7595
45	768	7588
46	785	7568
47	804	7571
48	823	7575
49	839	7555
50	855	7533
51	873	7521
52	891	7514
53	907	7492
54	923	7473
55	940	7454
56	959	7455
57	977	7449
58	994	7435
59	1011	7418
60	1028	7402
61	1047	7398
62	1063	7374
63	1080	7363
64	1098	7354
65	1116	7342
66	1133	7328
67	1151	7312
68	1170	7310
69	1188	7300
70	1204	7278
71	1222	7266
72	1239	7249
73	1256	7233
74	1276	7235
75	1292	7210
76	1311	7202
77	1328	7186
78	1344	7167
79	1363	7156
80	1380	7141
81	1397	7123
82	1414	7107
83	1431	7089
84	1450	7082
85	1468	7070
86	1485	7050
87	1503	7038
88	1520	7020
89	1540	7016
90	1556	6997
91	1574	6983
92	1591	6965
93	1610	6956
94	1628	6943
95	1646	6928
96	1663	6912
97	1680	6895
98	1698	6878
99	1715	6861
100	1734	6851
101	1753	6840
102	1771	6827
103	1789	6812
104	1805	6790
105	1820	6767
106	1838	6751
107	1855	6734
108	1874	6722
109	1892	6708
110	1912	6701
111	1929	6683
112	1945	6663
113	1964	6650
114	1982	6638
115	2000	6622
116	2018	6608
117	2036	6592
118	2054	6577
119	2071	6560
120	2089	6545
121	2106	6528
122	2124	6511
123	2141	6492
124	2157	6471
125	2174	6455
126	2191	6436
127	2208	6418
128	2224	6398
129	2241	6380
130	2256	6355
131	2272	6334
132	2292	6324
133	2308	6305
134	2327	6293
135	2345	6276
136	2361	6256
137	2378	6239
138	2396	6224
139	2414	6208
140	2432	6192
141	2450	6177
142	2466	6157
143	2482	6136
144	2500	6120
145	2517	6104
146	2534	6085
147	2553	6072
148	2571	6057
149	2588	6038
150	2607	6026
151	2626	6013
152	2643	5996
153	2659	5976
154	2676	5956
155	2692	5936
156	2709	5918
157	2727	5903
158	2744	5886
159	2761	5868
160	2777	5848
161	2793	5827
162	2808	5806
163	2824	5787
164	2840	5766
165	2857	5748
166	2874	5731
167	2892	5716
168	2910	5700
169	2927	5682
170	2944	5665
171	2962	5650
172	2980	5633
173	2995	5612
174	3011	5592
175	3027	5574
176	3046	5559
177	3065	5545
178	3079	5522
179	3096	5504
180	3113	5486
181	3127	5464
182	3143	5445
183	3160	5427
184	3178	5412
185	3196	5395
186	3213	5378
187	3229	5360
188	3247	5343
189	3262	5323
190	3277	5302
191	3294	5284
192	3310	5265
193	3327	5248
194	3344	5230
195	3359	5210
196	3375	5191
197	3390	5171
198	3405	5151
199	3423	5135
200	3439	5116
201	3455	5097
202	3472	5079
203	3487	5060
204	3505	5045
205	3524	5030
206	3541	5012
207	3557	4994
208	3576	4979
209	3593	4962
210	3611	4945
211	3627	4928
212	3643	4908
